# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  137       5.180457666938e-10       1.471225862643e-13      -5.745716064137e-12       0.000000000000e+00       4.592376473535e-12       7.789589903184e-13      -4.869545634041e-15 
  138       5.225530142060e-10       1.472660837647e-13      -5.786930473917e-12       0.000000000000e+00       4.499332925300e-12       7.666706463935e-13      -4.804999531889e-15 
  139       5.270520135400e-10       1.473443259794e-13      -5.825613310602e-12       0.000000000000e+00       4.408838258182e-12       7.546684890390e-13      -4.741398706763e-15 
  140       5.315413726510e-10       1.473573667715e-13      -5.861706370664e-12       0.000000000000e+00       4.320772687247e-12       7.429365011501e-13      -4.678471548110e-15 
  141       5.360196273625e-10       1.473053409440e-13      -5.895152407202e-12       0.000000000000e+00       4.235000043428e-12       7.314565275775e-13      -4.615925280398e-15 
  142       5.404852398089e-10       1.471884659233e-13      -5.925895167714e-12       0.000000000000e+00       4.151367409739e-12       7.202082274919e-13      -4.553445540166e-15 
  143       5.449365968772e-10       1.470070434436e-13      -5.953879431858e-12       0.000000000000e+00       4.069704757485e-12       7.091690267498e-13      -4.490695953066e-15 
  144       5.493721396954e-10       1.467614715509e-13      -5.979051382462e-12       0.000000000000e+00       3.989860596566e-12       6.983190070784e-13      -4.427387887167e-15 
  145       5.537907697739e-10       1.464522783982e-13      -6.001359680054e-12       0.000000000000e+00       3.911813655545e-12       6.876562174368e-13      -4.363498356122e-15 
  146       5.581914801293e-10       1.460800949983e-13      -6.020754566546e-12       0.000000000000e+00       3.835571571452e-12       6.771827886255e-13      -4.299072894330e-15 
  147       5.625732270357e-10       1.456456469290e-13      -6.037187580836e-12       0.000000000000e+00       3.761135708920e-12       6.669001129196e-13      -4.234157290216e-15 
  148       5.669349292203e-10       1.451497560758e-13      -6.050611598488e-12       0.000000000000e+00       3.688501003376e-12       6.568088248063e-13      -4.168797566585e-15 
  149       5.712754670584e-10       1.445933423754e-13      -6.060980871409e-12       0.000000000000e+00       3.617655804228e-12       6.469087817226e-13      -4.103039960990e-15 
  150       5.755936817687e-10       1.439774255576e-13      -6.068251067533e-12       0.000000000000e+00       3.548581718052e-12       6.371990447934e-13      -4.036930906082e-15 
  151       5.798883746088e-10       1.433031268891e-13      -6.072379310499e-12       0.000000000000e+00       3.481253451789e-12       6.276778595684e-13      -3.970517009976e-15 
  152       5.841583060702e-10       1.425716709159e-13      -6.073324219332e-12       0.000000000000e+00       3.415638655923e-12       6.183426367607e-13      -3.903845036606e-15 
  153       5.884021950734e-10       1.417843872063e-13      -6.071045948124e-12       0.000000000000e+00       3.351697767679e-12       6.091899329839e-13      -3.836961886082e-15 
  154       5.926187181637e-10       1.409427120936e-13      -6.065506225712e-12       0.000000000000e+00       3.289383854207e-12       6.002154314899e-13      -3.769914575056e-15 
  155       5.968065087060e-10       1.400481904194e-13      -6.056668395362e-12       0.000000000000e+00       3.228642455774e-12       5.914139229070e-13      -3.702750217074e-15 
  156       6.009641560802e-10       1.391024772759e-13      -6.044497454445e-12       0.000000000000e+00       3.169411428950e-12       5.827792859768e-13      -3.635516002938e-15 
  157       6.050902048764e-10       1.381073397494e-13      -6.028960094123e-12       0.000000000000e+00       3.111620789800e-12       5.743044682929e-13      -3.568259181065e-15 
  158       6.091831540903e-10       1.370646586627e-13      -6.010024739022e-12       0.000000000000e+00       3.055192557069e-12       5.659814670379e-13      -3.501027037844e-15 
  159       6.132414563184e-10       1.359764303182e-13      -5.987661586919e-12       0.000000000000e+00       3.000040595376e-12       5.578013097210e-13      -3.433866877998e-15 
  160       6.172635169532e-10       1.348447682406e-13      -5.961842648417e-12       0.000000000000e+00       2.946070458399e-12       5.497540349166e-13      -3.366826004941e-15 
