# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  155       5.968618086630e-10       1.409901699892e-13      -6.035285473967e-12       1.068795577020e-15       3.228642455774e-12       5.914139229070e-13      -3.702750217074e-15 
  156       6.010055906149e-10       1.400687480925e-13      -6.022694389430e-12       1.083981807970e-15       3.169411428950e-12       5.827792859768e-13      -3.635516002938e-15 
  157       6.051174629846e-10       1.390986687862e-13      -6.006741362928e-12       1.099305659584e-15       3.111620789800e-12       5.743044682929e-13      -3.568259181065e-15 
  158       6.091959286096e-10       1.380818279625e-13      -5.987395353751e-12       1.114767303636e-15       3.055192557069e-12       5.659814670379e-13      -3.501027037844e-15 
  159       6.132394442188e-10       1.370202370574e-13      -5.964627108763e-12       1.130366883784e-15       3.000040595376e-12       5.578013097210e-13      -3.433866877998e-15 
  160       6.172464196325e-10       1.359160247916e-13      -5.938409202241e-12       1.146104515027e-15       2.946070458399e-12       5.497540349166e-13      -3.366826004941e-15 
  161       6.212153285332e-10       1.347713895809e-13      -5.908715944110e-12       1.161980293790e-15       2.893198741196e-12       5.418310127278e-13      -3.299949929984e-15 
  162       6.251450534701e-10       1.335884483835e-13      -5.875523011947e-12       1.177994330328e-15       2.841413389579e-12       5.340321772253e-13      -3.233276863225e-15 
  163       6.290345699768e-10       1.323693777511e-13      -5.838807862410e-12       1.194146718162e-15       2.790718449196e-12       5.263593997570e-13      -3.166842695669e-15 
  164       6.328828374576e-10       1.311164634591e-13      -5.798549898816e-12       1.210437523211e-15       2.741114969562e-12       5.188141983154e-13      -3.100682698996e-15 
  165       6.366887989005e-10       1.298321020209e-13      -5.754730510360e-12       1.226866783304e-15       2.692600937004e-12       5.113977290398e-13      -3.034831497767e-15 
